"","Camk2a","Ccl2","Ccr2","Ccrl2","Col13a1","Ctnna3","Cxcl5","Cxcr2","Gpr65","Grb7","Hif3a","Il18rap","Il19","Il1r1","Il1r2","Itgal","Itln1","Lamb1","Lurap1l","Map3k8","Myt1l","Nos2","Notch4","Nxpe4","Osmr","Otud3","Plau","Ppbp","Procr","Ptpn22","Runx3","Stmn3","Tenm3","Tmem174","Tnfrsf1a"
"Il18rap",-0.230196271691168,0.939761128321368,0.691767848526238,0.348330542763275,0.914970187748478,-0.809931326165315,0.864062399371792,0.864011181255398,0.808396671165744,-0.778842906730036,0.530770678827202,1,0.894671528304118,0.920000408888686,0.816416085830284,0.811405056256038,-0.604277260480946,0.828134536884149,-0.787046693678795,0.481256359650277,-0.768422870424647,0.815653270619714,0.79025975153176,-0.866145382794681,0.908542789717011,0.316889805530238,0.943365373664243,0.614112610578883,0.678463375888631,0.409512706630864,0.791068924621855,-0.182364507327936,0.483584425287656,-0.819547609544729,0.880935498295543
"Il19",-0.299063435625168,0.979287679559109,0.842282322767276,0.478190202041698,0.929509430793949,-0.473962231089178,0.856218548755731,0.714818662096756,0.884407021222594,-0.615083962542054,0.518079449060157,0.894671528304118,1,0.88527844751766,0.826920565902339,0.930093750030656,-0.655398111493086,0.778264579733792,-0.668428525507284,0.785106893451121,-0.794652223032764,0.900283870400748,0.757761276455153,-0.815304782034243,0.885760749309192,0.162385289025506,0.858302770355701,0.882560146737913,0.777900180808833,0.653397082148792,0.731169484284654,-0.0294539579367405,0.470368397786797,-0.698393565079142,0.847150710688692
"Il1r1",-0.152898352676597,0.937826039730807,0.74283068995237,0.534627931754887,0.915158974756698,-0.726914398033617,0.974684732495255,0.952666315034084,0.941964161573655,-0.875889383501363,0.79981496682855,0.920000408888686,0.88527844751766,1,0.956811392110934,0.850672803136669,-0.81559341461489,0.971221076782718,-0.750904726500318,0.596246945332045,-0.942321945980348,0.907246938388763,0.92843444616604,-0.945559593726148,0.992581128907648,0.577213037586646,0.982830618547062,0.689914391154566,0.89814178137572,0.587674325532028,0.919308410240337,-0.328902875628333,0.742777962425651,-0.803462134161309,0.97041465795188
"Il1r2",-0.307507303250696,0.863500836638276,0.760343687162349,0.743589156226681,0.782251899048826,-0.624160970031846,0.995820152116938,0.925894638925641,0.923122608054274,-0.797958046618019,0.895906048323352,0.816416085830284,0.826920565902339,0.956811392110934,1,0.871110261397089,-0.793701625020676,0.982521578276998,-0.798751799078365,0.701089493060547,-0.978880481837714,0.896377590644617,0.966566424534612,-0.882264028086363,0.967753708085604,0.673588113058297,0.891726085556362,0.749840521159765,0.961728823705543,0.708123512019433,0.978419146713142,-0.439970490570468,0.876889550340265,-0.815497551188522,0.988184354698626
"Itgal",-0.561823225772719,0.875381837242121,0.718112063225745,0.60737158622641,0.779098477778168,-0.43554358647468,0.875785850845963,0.713943825687503,0.799576254746805,-0.634142249474332,0.612458764077926,0.811405056256038,0.930093750030656,0.850672803136669,0.871110261397089,1,-0.52804674127854,0.79346167174458,-0.659555175492358,0.87311174897878,-0.870260431195717,0.797628282950517,0.862228588082024,-0.685085216630094,0.842450090659242,0.29371617159083,0.771290579862036,0.897929110047741,0.849781092195675,0.623332979097859,0.820707211425934,0.00237553058570994,0.630253030690555,-0.627508088569954,0.85763575555835
"Itln1",-0.296565052457284,-0.749657910893625,-0.76489843332907,-0.531040746744298,-0.770194827740392,0.423250967879051,-0.794130098395671,-0.765200486611282,-0.924827323722397,0.656729527809903,-0.805452235782373,-0.604277260480946,-0.655398111493086,-0.81559341461489,-0.793701625020676,-0.52804674127854,1,-0.836075612142562,0.534615527457016,-0.457054634825793,0.769522261150052,-0.88174366086496,-0.678594739807497,0.913731017174027,-0.840735669743782,-0.599238076808914,-0.807015909134611,-0.558641511336934,-0.812315669083635,-0.730387220467121,-0.701235766158396,0.552387173340952,-0.678989741600221,0.66699677443388,-0.77978119765783
"Lamb1",-0.166151230364263,0.845894143443689,0.701027553978487,0.651011724548807,0.801502499502146,-0.713968989181885,0.983688098225024,0.973243119892287,0.918698128796843,-0.874294634736975,0.913908013788591,0.828134536884149,0.778264579733792,0.971221076782718,0.982521578276998,0.79346167174458,-0.836075612142562,1,-0.772819885583905,0.567630552198706,-0.968469330261612,0.874367767477063,0.95977693819365,-0.920997569060182,0.97382752081744,0.741058915327345,0.932217542736259,0.633831674688471,0.935823585169333,0.6223341487355,0.970759816800158,-0.487422571139006,0.873283559992701,-0.814834317827666,0.979289856498526
"Lurap1l",0.409114136516531,-0.735349310280899,-0.749137696114665,-0.725586091479384,-0.584566319437921,0.698489448578328,-0.821780590533705,-0.77927789297778,-0.70074557167298,0.507168348848788,-0.611547759487375,-0.787046693678795,-0.668428525507284,-0.750904726500318,-0.798751799078365,-0.659555175492358,0.534615527457016,-0.772819885583905,1,-0.469941151579015,0.670085896426164,-0.767576908713804,-0.710807466430505,0.758525924871798,-0.804035240025306,-0.45636450689412,-0.721060120542896,-0.568224584054285,-0.618785172361517,-0.610637536427385,-0.821454819369516,0.622048644542971,-0.620470904318182,0.978333327561495,-0.861487783316555
"Map3k8",-0.564648143546686,0.682111093148015,0.746212416582708,0.725095120564218,0.543997802159148,0.0236321293104776,0.67954438433191,0.395221776385329,0.686810306681157,-0.261312610910859,0.499014723566161,0.481256359650277,0.785106893451121,0.596246945332045,0.701089493060547,0.87311174897878,-0.457054634825793,0.567630552198706,-0.469941151579015,1,-0.691944392070832,0.711775958665283,0.630881825721747,-0.467982329721578,0.620951837555517,0.11718332612071,0.467405790940825,0.975522161714236,0.761189564981344,0.805221786134978,0.602599505261483,0.0260468647552767,0.527573425549363,-0.427413800742182,0.645672765682897
"Myt1l",0.287287643460553,-0.817714667437119,-0.653329872552675,-0.665855900801779,-0.765644771500121,0.588439017983895,-0.966859805196608,-0.909373821068829,-0.888465948677574,0.85249176719013,-0.909059831323929,-0.768422870424647,-0.794652223032764,-0.942321945980348,-0.978880481837714,-0.870260431195717,0.769522261150052,-0.968469330261612,0.670085896426164,-0.691944392070832,1,-0.829469668515334,-0.98510104855507,0.828447157604621,-0.93240756042973,-0.704410900406329,-0.872365351113735,-0.715132734571998,-0.98153671518191,-0.625278894574731,-0.959746205255041,0.324167569676723,-0.893034740274298,0.687627888696138,-0.946108438467022
